GENDER,AGE,COUNTRY,EMPLOYMENT,EDUCATION,COMP 1.1,COMP 1.2,COMP 1.3,AREA 1,COMP 2.1,COMP 2.2,COMP 2.3,COMP 2.4,COMP 2.5,COMP 2.6,AREA 2,COMP 3.1,COMP 3.2,COMP 3.3,COMP 3.4,AREA 3,COMP 4.1,COMP 4.2,COMP 4.3,COMP 4.4,AREA 4,COMP 5.1,COMP 5.2,COMP 5.3,COMP 5.4,AREA 5
Male,21,IT,In Employment,In or completed higher education,"91,75",100,100,"97,25",100,"83,5",75,89,"91,75",75,"85,57","83,5","91,75","33,25",50,"64,63",100,"93,4","22,33","58,25","75,94",100,100,"44,33","66,75","76,92"
Male,21,IT,In full-time Education,In or completed secondary education,"91,75","83,5","91,75",89,100,"83,5",75,89,"83,5",75,"84,13","91,75","58,25",75,"58,25","70,81",100,"93,4",78,"91,75",89,"75,25","91,75",78,"75,25","82,23"
Male,22,IT,In full-time Education,In or completed higher education,"91,75","91,75",100,"94,5",100,"83,25",75,100,100,100,"92,74",100,"83,25",100,"83,25","91,63",100,80,"66,67","91,75","87,06","83,25",100,"55,33","83,25","79,38"
Male,20,IT,In full-time Education,In or completed higher education,75,"91,75",100,"88,92",100,75,75,"66,67",100,100,"86,96",100,"91,75","58,5","8,25","64,63","91,75","93,4","55,67","41,75",76,100,100,"66,67","83,5","87,23"
Male,20,IT,In full-time Education,In or completed higher education,"83,5",100,"83,5",89,"91,75","58,5",75,89,100,100,"85,57","83,5","41,75","33,25",25,"45,88",75,"93,4",78,"83,5","83,44","83,5","91,75","44,33","83,5",77
Male,20,IT,In full-time Education,In or completed higher education,"66,75","83,5","75,25","75,17","75,25","33,25","66,75","77,67",50,"41,75","56,57","66,5","41,75",25,"16,5","37,44","58,5","60,2","33,33","41,5","50,06","41,75","66,75","22,33",50,"46,23"
Male,25,IT,In full-time Education,In or completed higher education,"66,75","91,75","75,25","77,92","91,75","75,25","58,5","55,67","66,75","41,75","65,35","66,75","16,5",25,"8,25","29,13",50,"66,8","55,67","58,5","61,22","58,5","75,25","22,33",50,"48,85"
Male,21,IT,In full-time Education,In or completed higher education,"41,75","58,5","58,5","52,92","41,5","50,25","24,75",33,67,"33,25",42,"58,5","66,75","33,25","16,5","43,75","33,25","46,8","44,67","41,75","44,56","58,5","58,5","44,67","75,25","59,15"
Male,21,IT,In full-time Education,In or completed vet education,50,67,50,"55,67","91,75",67,"66,75",67,"75,25","83,25","75,52","83,25","58,5",50,"8,25",50,"41,5","60,2","44,33","41,5",50,67,"58,5","33,33","41,75","48,85"
Male,22,IT,In full-time Education,In or completed higher education,"91,75",100,100,"97,25",100,75,75,100,100,"66,75","85,52",75,75,75,"41,5","66,63","91,75","86,6","66,67","83,25","85,17","91,75","83,25","22,33","58,25","61,54"
Male,19,IT,In full-time Education,In or completed higher education,75,"75,25","66,75","72,33","75,25",50,"41,5","44,33","58,5","16,5","47,83","58,25",50,"41,5",33,"45,69",25,"33,4","66,67",25,"37,06","66,75","41,5",78,"75,25","66,77"
Male,21,IT,In Employment,In or completed higher education,50,"75,25",67,"64,08",67,67,67,67,67,"58,5","65,52",67,50,"58,5",67,"60,63",67,67,67,67,"68,83","75,25",67,"55,67",67,"64,38"
Male,19,IT,In full-time Education,In or completed vet education,67,"58,5","58,5","61,33",67,50,"58,5",67,"58,5","41,75","56,7",50,"33,25","41,5","24,75","37,38","58,5","60,2","55,67","58,5","59,44",67,67,"44,33",50,"56,54"
Male,19,IT,In full-time Education,In or completed vet education,"66,75","75,25","41,5","61,17",75,"83,5",75,"55,67","75,25","58,25","71,09",67,67,67,67,67,"75,25","80,2",78,"75,25","79,83","91,75","83,5",67,"75,25","77,15"
Male,19,IT,In full-time Education,In or completed higher education,"58,5",67,50,"58,5","58,5","58,5","41,75",33,67,"24,75","47,87",50,"33,25","41,75","16,5","35,38","41,5","60,2","44,33",67,"55,67",50,"58,5",22,50,"43,54"
Male,21,IT,In full-time Education,In or completed higher education,"66,75",75,"83,5","75,08","75,25","66,5","66,75",89,"58,5","58,5","68,22","66,75","41,5","58,5",50,"54,19","58,5","66,8","55,67","58,25","61,22",67,"66,75","44,33","58,5","59,08"
Male,23,IT,Self-employed,In or completed higher education,100,100,100,100,100,100,"83,25",100,100,100,"97,09",100,100,"83,5","91,75","93,81","91,75",80,100,100,"92,61",100,100,"77,67",100,"94,85"
Male,19,IT,In full-time Education,In or completed higher education,67,67,67,67,67,"58,5",50,67,67,67,"62,57","50,25",33,"58,5",67,"52,19","58,5","60,2","55,67","58,5","59,44",67,67,"44,33","58,5","59,15"
Male,21,IT,In full-time Education,In or completed secondary education,"91,75","83,5","91,75",89,"83,25","83,5","66,5",78,"83,5",50,"73,96","75,25","41,5","50,25",75,"60,5",50,"80,2","66,67",50,"63,06","66,75","91,75","66,67",100,"84,62"
Male,19,IT,In full-time Education,In or completed higher education,"58,5",67,"58,5","61,33","58,5","58,5","58,25","44,67","58,5","41,75","53,74","91,75","41,75","41,75","8,25","45,88","33,25","80,2",78,"58,5","64,94","83,5",67,"66,67","91,75","77,08"
Male,19,IT,In full-time Education,In or completed higher education,"58,5","58,5",50,"55,67","75,25",50,"41,5",67,"58,5","58,5","58,09","58,5",50,50,"41,5",50,67,"60,2","44,33","50,25","57,61",67,67,"44,33",67,"61,77"
Female,20,IT,In full-time Education,In or completed higher education,"66,75",67,75,"69,58","83,5","66,75","83,25",67,67,"66,75","72,61","75,25",50,"41,75","16,75","45,94","33,25","46,8","44,67",50,"46,39",67,67,"55,67","83,5","69,46"
Female,41,IT,In full-time Education,In or completed vet education,"50,25","58,5",75,"61,25","75,25","66,75","83,25",67,"75,25","33,5","66,83","75,25","16,75","58,5",25,"43,88",25,"53,4","33,33","58,5","46,39","50,25","58,5",11,"58,25","43,62"
Female,24,IT,In Employment,In or completed higher education,75,67,75,"72,33",100,"91,75",75,"55,33","91,75","91,75","85,52","83,5",67,"66,75","16,75","58,5",75,67,"44,67",75,"70,5",75,"91,75","33,33",67,"64,23"
Female,21,IT,In full-time Education,In or completed higher education,75,"83,5","75,25","77,92","83,25","66,75","58,5","55,67","75,25",50,"65,3","58,25",50,"33,25","8,25","37,44","33,25","53,4",33,50,"44,39","66,75","66,75","44,33","66,75","64,15"
Male,21,IT,In full-time Education,In or completed higher education,"58,5",67,"58,5","61,33",67,"58,5",50,"55,67","58,5",50,"56,65",67,"58,5",50,"16,5",48,33,33,"44,67","41,5","38,72","41,5",50,"44,67",67,"51,38"
Male,26,IT,In full-time Education,In or completed secondary education,"75,25",67,67,"69,75",100,100,100,100,100,100,100,100,100,100,50,"87,5","50,25","86,8",100,100,"85,28","91,75",100,100,"91,75","94,92"
